Location,Urban,x,y,N,S,E,I,R,V,mapX,mapY
Cape Town,1,-33.92584,18.42322,"3,433,441","3,433,441",0,0,0,0,-33.92584,18.42322
Durban,1,"-29.8579,",31.0292,"3,120,282","3,120,282",0,0,0,0,"-29.8579,",31.0292
Johannesburg,1,-26.20227,28.04363,"2,026,469","2,026,469",0,0,0,0,-26.20227,28.04363
Soweto,1,-26.26781,27.85849,"1,695,047","1,695,047",0,0,0,0,-26.26781,27.85849
Pretoria,1,-25.74486,28.18783,"1,619,438","1,619,438",0,0,0,0,-25.74486,28.18783
Port Elizabeth,1,-33.96109,25.61494,"967,677","967,677",0,0,0,0,-33.96109,25.61494
Pietermaritzburg,1,-29.61679,30.39278,"750,845","750,845",0,0,0,0,-29.61679,30.39278
Benoni,1,-26.18848,28.32078,"605,344","605,344",0,0,0,0,-26.18848,28.32078
Tembisa,1,-25.99636,28.2268,"511,655","511,655",0,0,0,0,-25.99636,28.2268
East London,1,-33.01529,27.91162,"478,676","478,676",0,0,0,0,-33.01529,27.91162
Vereeniging,1,-26.67313,27.92615,"474,681","474,681",0,0,0,0,-26.67313,27.92615
Bloemfontein,1,-29.12107,26.214,"463,064","463,064",0,0,0,0,-29.12107,26.214
Boksburg,1,-26.21197,28.25958,"445,168","445,168",0,0,0,0,-26.21197,28.25958
Welkom,1,-27.97742,26.73506,"431,944","431,944",0,0,0,0,-27.97742,26.73506
Newcastle,1,-27.75796,29.9318,"404,838","404,838",0,0,0,0,-27.75796,29.9318
Krugersdorp,1,-26.08577,27.77515,"378,821","378,821",0,0,0,0,-26.08577,27.77515
Diepsloot,1,-25.93312,28.01213,"350,000","350,000",0,0,0,0,-25.93312,28.01213
Randburg,1,-26.0941,28.00123,"337,053","337,053",0,0,0,0,-26.0941,28.00123
Botshabelo,1,-29.26737,26.72595,"309,714","309,714",0,0,0,0,-29.26737,26.72595
Brakpan,1,-26.23656,28.36938,"305,692","305,692",0,0,0,0,-26.23656,28.36938
Witbank,1,-25.87133,29.23323,"262,491","262,491",0,0,0,0,-25.87133,29.23323
Richards Bay,1,-28.78301,32.03768,"252,968","252,968",0,0,0,0,-28.78301,32.03768
Vanderbijlpark,1,-26.71171,27.83795,"246,754","246,754",0,0,0,0,-26.71171,27.83795
Centurion,1,-25.85891,28.18577,"233,386","233,386",0,0,0,0,-25.85891,28.18577
Uitenhage,1,-33.75757,25.3971,"228,912","228,912",0,0,0,0,-33.75757,25.3971
Roodepoort,1,-26.1625,27.8725,"225,000","225,000",0,0,0,0,-26.1625,27.8725
Paarl,1,-33.73378,18.97523,"190,000","190,000",0,0,0,0,-33.73378,18.97523
Springs,1,-26.25,28.4,"186,394","186,394",0,0,0,0,-26.25,28.4
Carletonville,1,-26.36094,27.39767,"182,304","182,304",0,0,0,0,-26.36094,27.39767
Klerksdorp,1,-26.85213,26.66672,"178,921","178,921",0,0,0,0,-26.85213,26.66672
Midrand,1,-25.98953,28.12843,"173,009","173,009",0,0,0,0,-25.98953,28.12843
George,1,-33.963,22.46173,"157,394","157,394",0,0,0,0,-33.963,22.46173
Westonaria,1,-26.31905,27.6486,"156,831","156,831",0,0,0,0,-26.31905,27.6486
Middelburg,1,-25.77507,29.46482,"154,706","154,706",0,0,0,0,-25.77507,29.46482
Vryheid,1,-27.76952,30.79165,"150,012","150,012",0,0,0,0,-27.76952,30.79165
Orkney,1,-26.98023,26.67272,"145,801","145,801",0,0,0,0,-26.98023,26.67272
Kimberley,1,-28.73226,24.76232,"142,089","142,089",0,0,0,0,-28.73226,24.76232
eMbalenhle,1,-26.53333,29.06667,"141,741","141,741",0,0,0,0,-26.53333,29.06667
Nigel,1,-26.43138,28.47713,"140,644","140,644",0,0,0,0,-26.43138,28.47713
Mpumalanga,1,-29.81292,30.63646,"140,121","140,121",0,0,0,0,-29.81292,30.63646
Bhisho,1,-32.84721,27.44218,"137,287","137,287",0,0,0,0,-32.84721,27.44218
Randfontein,1,-26.1844,27.70203,"133,654","133,654",0,0,0,0,-26.1844,27.70203
Worcester,1,-33.64651,19.44852,"127,597","127,597",0,0,0,0,-33.64651,19.44852
Rustenburg,1,-25.66756,27.24208,"124,064","124,064",0,0,0,0,-25.66756,27.24208
Polokwane,1,-23.90449,29.46885,"123,749","123,749",0,0,0,0,-23.90449,29.46885
Potchefstroom,1,-26.71667,27.1,"123,669","123,669",0,0,0,0,-26.71667,27.1
Virginia,1,-28.10391,26.86593,"122,502","122,502",0,0,0,0,-28.10391,26.86593
Brits,1,-25.63473,27.78022,"122,497","122,497",0,0,0,0,-25.63473,27.78022
Alberton,1,-26.26786,28.12225,"121,536","121,536",0,0,0,0,-26.26786,28.12225
Nelspruit,1,-25.47448,30.97033,"110,159","110,159",0,0,0,0,-25.47448,30.97033
Phalaborwa,1,-23.94299,31.14107,"109,468","109,468",0,0,0,0,-23.94299,31.14107
Queenstown,1,-31.89756,26.87533,"105,309","105,309",0,0,0,0,-31.89756,26.87533
Kroonstad,1,-27.65036,27.23488,"103,992","103,992",0,0,0,0,-27.65036,27.23488
Bethal,1,-26.45794,29.46553,"101,919","101,919",0,0,0,0,-26.45794,29.46553
Mokopane,1,-24.19436,29.00974,"101,090","101,090",0,0,0,0,-24.19436,29.00974
Mabopane,1,-25.49768,28.10065,"97,417","97,417",0,0,0,0,-25.49768,28.10065
Kutloanong,1,-27.83333,26.75,"95,008","95,008",0,0,0,0,-27.83333,26.75
Stellenbosch,1,-33.93462,18.86676,"94,263","94,263",0,0,0,0,-33.93462,18.86676
Stilfontein,1,-26.84493,26.76829,"93,110","93,110",0,0,0,0,-26.84493,26.76829
Delmas,1,-26.1466,28.68322,"92,046","92,046",0,0,0,0,-26.1466,28.68322
Grahamstown,1,-33.30422,26.53276,"91,548","91,548",0,0,0,0,-33.30422,26.53276
Warmbaths,1,-24.88333,28.28333,"90,210","90,210",0,0,0,0,-24.88333,28.28333
Louis Trichardt,1,-23.04385,29.90319,"86,854","86,854",0,0,0,0,-23.04385,29.90319
Dundee,1,-28.16678,30.23371,"84,413","84,413",0,0,0,0,-28.16678,30.23371
Piet Retief,1,-27.00706,30.81323,"84,349","84,349",0,0,0,0,-27.00706,30.81323
Phuthaditjhaba,1,-28.52423,28.81582,"84,258","84,258",0,0,0,0,-28.52423,28.81582
Bethlehem,1,-28.23078,28.30707,"83,654","83,654",0,0,0,0,-28.23078,28.30707
Mthatha,1,-31.58893,28.78443,"78,663","78,663",0,0,0,0,-31.58893,28.78443
Sasolburg,1,-26.81358,27.81695,"77,016","77,016",0,0,0,0,-26.81358,27.81695
Mmabatho,1,-25.85,25.6333,"76,754","76,754",0,0,0,0,-25.85,25.6333
Standerton,1,-26.93366,29.24152,"74,021","74,021",0,0,0,0,-26.93366,29.24152
Bothaville,1,-27.3887,26.61701,"71,934","71,934",0,0,0,0,-27.3887,26.61701
Upington,1,-28.44776,21.25612,"71,373","71,373",0,0,0,0,-28.44776,21.25612
Parys,1,-26.9033,27.45727,"71,319","71,319",0,0,0,0,-26.9033,27.45727
Schweizer-Reneke,1,-27.18871,25.32931,"70,214","70,214",0,0,0,0,-27.18871,25.32931
Ga-Rankuwa,1,-25.61692,27.99471,"68,767","68,767",0,0,0,0,-25.61692,27.99471
Knysna,1,-34.03627,23.04713,"68,659","68,659",0,0,0,0,-34.03627,23.04713
Saldanha,1,-33.01167,17.9442,"68,284","68,284",0,0,0,0,-33.01167,17.9442
Barberton,1,-25.78842,31.05319,"67,927","67,927",0,0,0,0,-25.78842,31.05319
Lichtenburg,1,-26.152,26.15968,"65,863","65,863",0,0,0,0,-26.152,26.15968
Heidelberg,1,-26.50476,28.35921,"64,199","64,199",0,0,0,0,-26.50476,28.35921
Graaff-Reinet,1,-32.25215,24.53075,"62,896","62,896",0,0,0,0,-32.25215,24.53075
Fochville,1,-26.48862,27.49387,"62,416","62,416",0,0,0,0,-26.48862,27.49387
Oudtshoorn,1,-33.60047,22.19955,"61,507","61,507",0,0,0,0,-33.60047,22.19955
Atlantis,1,-33.56668,18.48335,"60,266","60,266",0,0,0,0,-33.56668,18.48335
KwaDukuza,1,-29.32816,31.28954,"59,899","59,899",0,0,0,0,-29.32816,31.28954
Mossel Bay,1,-34.18307,22.14605,"59,031","59,031",0,0,0,0,-34.18307,22.14605
Fort Beaufort,1,-32.77477,26.63376,"58,419","58,419",0,0,0,0,-32.77477,26.63376
Kraaifontein,1,-33.84808,18.71723,"57,911","57,911",0,0,0,0,-33.84808,18.71723
Wellington,1,-33.63981,19.0112,"55,543","55,543",0,0,0,0,-33.63981,19.0112
Heilbron,1,-27.28115,27.9709,"55,196","55,196",0,0,0,0,-27.28115,27.9709
Viljoenskroon,1,-27.20841,26.94855,"54,955","54,955",0,0,0,0,-27.20841,26.94855
Port Shepstone,1,-30.74137,30.45499,"52,793","52,793",0,0,0,0,-30.74137,30.45499
